Tested_participant,Precision,Recall,F1-score,Accuracy
P000,0.61,0.69,0.62,0.69
P001,0.94,0.94,0.94,0.94
P002,0.71,0.77,0.73,0.77
P003,0.82,0.76,0.75,0.76
P004,0.91,0.9,0.9,0.9
P005,0.92,0.88,0.86,0.88
P006,0.97,0.96,0.96,0.96
P007,0.92,0.9,0.89,0.9
P008,0.88,0.85,0.85,0.85
P009,0.77,0.77,0.77,0.77
P010,0.92,0.9,0.9,0.9
P011,0.77,0.74,0.72,0.74
P012,0.94,0.93,0.94,0.93
P013,0.93,0.91,0.91,0.91
P014,0.84,0.84,0.84,0.84
P015,0.84,0.82,0.81,0.82
P016,0.92,0.9,0.9,0.9
P017,0.91,0.91,0.91,0.91
P018,0.86,0.85,0.85,0.85
P019,0.93,0.89,0.89,0.89
P020,0.91,0.88,0.88,0.88
